target_listing_key,ticker,target_exchange,official_name,official_asset_type,official_isin,official_source_key,existing_listing_keys,existing_exchanges,existing_names,existing_asset_types,existing_isins,same_isin_listing_keys,identity_evidence,collision_risk_flags,deepseek_decision_candidate,deepseek_confidence,deepseek_evidence_needed,deepseek_rationale,deepseek_do_not_apply_reason,review_queue,review_gate,recommended_next_action
AMS::IWDA,IWDA,AMS,iShares Core MSCI World UCITS ETF USD (Acc),ETF,IE00B4L5Y983,euronext_etfs,LSE::IWDA,LSE,iShares Core MSCI World UCITS ETF USD (Acc),ETF,IE00B4L5Y983,LSE::IWDA|LSE::SWDA|XETRA::EUNL,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.9,Confirmation that this ticker is actively listed on AMS under the same ISIN via official Euronext source.,"All identity evidence matches exactly (ISIN, name, asset type) with existing LSE listings and other cross-listings. This is likely a valid cross-listing, but official confirmation for AMS specifically may be needed to ensure no ticker conflicts or delistings.",Cross-listing requires human verification to avoid duplicate masterfile entries and to confirm active listing status.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::IWDE,IWDE,AMS,iShares MSCI World EUR Hedged UCITS ETF (Acc),ETF,IE00B441G979,euronext_etfs,LSE::IWDE,LSE,iShares MSCI World EUR Hedged UCITS ETF (Acc),ETF,IE00B441G979,LSE::IWDE|XETRA::IBCH,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.9,Confirmation that this ticker is actively listed on AMS under the same ISIN via official Euronext source.,"All identity evidence matches exactly (ISIN, name, asset type) with existing LSE listings and other cross-listings. This is likely a valid cross-listing, but official confirmation for AMS specifically may be needed to ensure no ticker conflicts or delistings.",Cross-listing requires human verification to avoid duplicate masterfile entries and to confirm active listing status.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::LGAP,LGAP,AMS,L&G Asia Pacific ex Japan Equity UCITS ETF,ETF,IE00BFXR5W90,euronext_etfs,LSE::LGAP,LSE,L&G Asia Pacific ex Japan Equity UCITS ETF,ETF,IE00BFXR5W90,LSE::LGAG|LSE::LGAP|XETRA::ETLK,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.9,Confirmation that this ticker is actively listed on AMS under the same ISIN via official Euronext source.,"All identity evidence matches exactly (ISIN, name, asset type) with existing LSE listings and other cross-listings. This is likely a valid cross-listing, but official confirmation for AMS specifically may be needed to ensure no ticker conflicts or delistings.",Cross-listing requires human verification to avoid duplicate masterfile entries and to confirm active listing status.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::LGEU,LGEU,AMS,L&G Europe ex UK Equity UCITS ETF,ETF,IE00BFXR5V83,euronext_etfs,LSE::LGEU,LSE,L&G Europe ex UK Equity UCITS ETF,ETF,IE00BFXR5V83,LSE::LGEG|LSE::LGEU|XETRA::ETLN,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.95,None; official evidence confirms cross-listing.,"The target listing on AMS has the same ISIN (IE00BFXR5V83), name, and asset type as an existing listing on LSE. This indicates it is a cross-listing of the same ETF.","This is a cross-listing; do not create a separate master. Instead, link the AMS listing to the existing master.",manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::LGGL,LGGL,AMS,L&G Global Equity UCITS ETF,ETF,IE00BFXR5S54,euronext_etfs,LSE::LGGL,LSE,L&G Global Equity UCITS ETF,ETF,IE00BFXR5S54,LSE::LGGG|LSE::LGGL|XETRA::ETLQ,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.95,None; official evidence confirms cross-listing.,"The target listing on AMS has the same ISIN (IE00BFXR5S54), name, and asset type as an existing listing on LSE. This indicates it is a cross-listing of the same ETF.","This is a cross-listing; do not create a separate master. Instead, link the AMS listing to the existing master.",manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::LGJP,LGJP,AMS,L&G Japan Equity UCITS ETF,ETF,IE00BFXR5T61,euronext_etfs,LSE::LGJP,LSE,L&G Japan Equity UCITS ETF,ETF,IE00BFXR5T61,LSE::LGJG|LSE::LGJP|XETRA::ETLR,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.95,None; official evidence confirms cross-listing.,"The target listing on AMS has the same ISIN (IE00BFXR5T61), name, and asset type as an existing listing on LSE. This indicates it is a cross-listing of the same ETF.","This is a cross-listing; do not create a separate master. Instead, link the AMS listing to the existing master.",manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::LGUS,LGUS,AMS,L&G US Equity UCITS ETF,ETF,IE00BFXR5Q31,euronext_etfs,LSE::LGUS,LSE,L&G US Equity UCITS ETF,ETF,IE00BFXR5Q31,LSE::LGUG|LSE::LGUS|XETRA::ETLS,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.95,None; official evidence confirms cross-listing.,"The target listing on AMS has the same ISIN (IE00BFXR5Q31), name, and asset type as an existing listing on LSE. This indicates it is a cross-listing of the same ETF.","This is a cross-listing; do not create a separate master. Instead, link the AMS listing to the existing master.",manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::LTAM,LTAM,AMS,iShares MSCI EM Latin America UCITS ETF USD (Dist),ETF,IE00B27YCK28,euronext_etfs,LSE::LTAM,LSE,iShares MSCI EM Latin America UCITS ETF USD (Dist),ETF,IE00B27YCK28,LSE::DLTM|LSE::LTAM|XETRA::IUSC,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.95,None; official evidence confirms cross-listing.,"The target listing on AMS has the same ISIN (IE00B27YCK28), name, and asset type as an existing listing on LSE. This indicates it is a cross-listing of the same ETF.","This is a cross-listing; do not create a separate master. Instead, link the AMS listing to the existing master.",manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::METY,METY,AMS,IncomeShares META Options ETP,ETF,XS2901885553,euronext_etfs,LSE::METY,LSE,IncomeShares META Options ETP,ETF,XS2901885553,LSE::METI|LSE::METY,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.0,"Official confirmation from issuer or exchange that this is an intentional cross-listing of the same fund (XS2901885553) on Euronext Amsterdam, separate from the existing London listing.",Official ISIN and name match existing LSE listing (METY). Same ISIN also listed as METI on LSE. Identity evidence is strong but cross-listing intent needs verification.,Pending verification of cross-listing status to avoid accidental duplicate entry.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::SLVY,SLVY,AMS,IncomeShares Silver+ Yield ETP,ETF,XS3068774614,euronext_etfs,LSE::SLVY,LSE,IncomeShares Silver+ Yield ETP,ETF,XS3068774614,LSE::SLVI|LSE::SLVY|XETRA::YSLV,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.0,Official confirmation that SLVY on AMS (XS3068774614) is an intentional cross-listing of the same security as SLVY on LSE and not a data duplication error.,ISIN and name match existing LSE listing SLVY. Also listed as SLVI on LSE and YSLV on XETRA. Euronext source is official but cross-listing requires explicit confirmation.,Cross-listing confirmation needed to resolve ticker collision between AMS and LSE.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::SUSW,SUSW,AMS,iShares MSCI World SRI UCITS ETF EUR (Acc),ETF,IE00BYX2JD69,euronext_etfs,LSE::SUSW,LSE,iShares MSCI World SRI UCITS ETF EUR (Acc),ETF,IE00BYX2JD69,LSE::SUSW|XETRA::2B7K,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.0,"Confirmation that SUSW on AMS (IE00BYX2JD69) is a deliberate cross-listing of the iShares MSCI World SRI UCITS ETF, already present on LSE (SUSW) and XETRA (2B7K).",ISIN IE00BYX2JD69 matches existing LSE SUSW listing with exact name match. Same ISIN on XETRA as 2B7K. Likely cross-listing but needs issuer/exchange confirmation.,Verification of cross-listing status required before applying new entry.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::UKSR,UKSR,AMS,UBS (IRL) ETF PLC - MSCI UNITED KINGDOM IMI SOCIALLY RESPONSIBLE UCITS ETF (GBP) A-DIS,ETF,IE00BMP3HN93,euronext_etfs,LSE::UKSR,LSE,UBS (Irl) ETF plc - MSCI United Kingdom IMI Socially Responsible UCITS ETF (GBP) A-dis,ETF,IE00BMP3HN93,LSE::UKSR,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.0,Official confirmation from UBS or Euronext that UKSR on AMS (IE00BMP3HN93) is an intentional cross-listing of the same UCITS ETF already listed on LSE as UKSR.,"ISIN and name match LSE UKSR. No other exchanges for this ISIN, but identity evidence suggests a direct cross-listing requiring explicit verification.",Awaiting confirmation of cross-listing to prevent duplicate db entries.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::USPA,USPA,AMS,Franklin S&P 500 Paris Aligned Climate UCITS ETF,ETF,IE00BMDPBZ72,euronext_etfs,LSE::USPA,LSE,Franklin S&P 500 Paris Aligned Climate UCITS ETF,ETF,IE00BMDPBZ72,LSE::500P|LSE::USPA|XETRA::FLX5,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.0,"Official verification that USPA on AMS (IE00BMDPBZ72) is a cross-listing of the Franklin S&P 500 Paris Aligned Climate UCITS ETF, which is already on LSE as USPA and 500P, and XETRA as FLX5.",ISIN IE00BMDPBZ72 matches multiple listings. Euronext AMS listing appears legitimate but cross-listing status should be formally confirmed.,Cross-listing verification needed to resolve ticker collision.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::VGGE,VGGE,AMS,Vanguard Global Government Bond UCITS ETF EUR Hedged Distributing,ETF,IE0003HUCA83,euronext_etfs,XETRA::VGGE,XETRA,Vanguard Global Government Bond UCITS ETF EUR Hedged Distributing,ETF,IE0003HUCA83,XETRA::VGGE,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.8,Official exchange listing confirmation from Euronext Amsterdam for ticker VGGE with ISIN IE0003HUCA83.,"The target listing shares the same ISIN, name, and asset type as an existing XETRA listing, indicating a cross-listing. Strong identity evidence includes official ISIN, exact name match, and consistent asset type. However, direct evidence from the exchange’s official list is still needed to confirm the listing.",Cross-listing requires verification of official listing status to prevent duplicate master records.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::VGGF,VGGF,AMS,Vanguard Global Government Bond UCITS ETF EUR Hedged Accumulating,ETF,IE000B1A2798,euronext_etfs,XETRA::VGGF,XETRA,Vanguard Global Government Bond UCITS ETF EUR Hedged Accumulating,ETF,IE000B1A2798,XETRA::VGGF,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.8,Official exchange listing confirmation from Euronext Amsterdam for ticker VGGF with ISIN IE000B1A2798.,"The target listing shares the same ISIN, name, and asset type as an existing XETRA listing, indicating a cross-listing. Strong identity evidence includes official ISIN, exact name match, and consistent asset type. However, direct evidence from the exchange’s official list is still needed to confirm the listing.",Cross-listing requires verification of official listing status to prevent duplicate master records.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
BSE_IN::BANKBARODA,BANKBARODA,BSE_IN,Bank of Baroda,Stock,INE028A01039,bse_india_scrips,NSE_IN::BANKBARODA,NSE_IN,Bank of Baroda,Stock,INE028A01039,NSE_IN::BANKBARODA,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.8,Official exchange listing confirmation from BSE India for ticker BANKBARODA with ISIN INE028A01039.,"The target listing shares the same ISIN, name, and asset type as an existing NSE India listing, indicating a cross-listing. Strong identity evidence includes official ISIN, exact name match, and consistent asset type. However, direct evidence from the exchange’s official list is still needed to confirm the listing.",Cross-listing requires verification of official listing status to prevent duplicate master records.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
BSE_IN::BANKINDIA,BANKINDIA,BSE_IN,Bank of India,Stock,INE084A01016,bse_india_scrips,NSE_IN::BANKINDIA,NSE_IN,Bank of India,Stock,INE084A01016,NSE_IN::BANKINDIA,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.8,Official exchange listing confirmation from BSE India for ticker BANKINDIA with ISIN INE084A01016.,"The target listing shares the same ISIN, name, and asset type as an existing NSE India listing, indicating a cross-listing. Strong identity evidence includes official ISIN, exact name match, and consistent asset type. However, direct evidence from the exchange’s official list is still needed to confirm the listing.",Cross-listing requires verification of official listing status to prevent duplicate master records.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
BSE_IN::CANBK,CANBK,BSE_IN,Canara Bank,Stock,INE476A01022,bse_india_scrips,NSE_IN::CANBK,NSE_IN,Canara Bank,Stock,INE476A01022,NSE_IN::CANBK,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.8,Official exchange listing confirmation from BSE India for ticker CANBK with ISIN INE476A01022.,"The target listing shares the same ISIN, name, and asset type as an existing NSE India listing, indicating a cross-listing. Strong identity evidence includes official ISIN, exact name match, and consistent asset type. However, direct evidence from the exchange’s official list is still needed to confirm the listing.",Cross-listing requires verification of official listing status to prevent duplicate master records.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
BSE_IN::CENTRALBK,CENTRALBK,BSE_IN,Central Bank of India,Stock,INE483A01010,bse_india_scrips,NSE_IN::CENTRALBK,NSE_IN,Central Bank of India,Stock,INE483A01010,NSE_IN::CENTRALBK,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.95,"None, identity confirmed by matching ISIN and official name across exchanges.",The BSE listing shares ISIN INE483A01010 and exact name 'Central Bank of India' with existing NSE listing NSE_IN::CENTRALBK. Asset type also consistent. This is a cross-listing of the same security on multiple exchanges.,Cross-listing relationship requires explicit exchange confirmation before merging master records.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
BSE_IN::GICRE,GICRE,BSE_IN,General Insurance Corporation of India,Stock,INE481Y01014,bse_india_scrips,NSE_IN::GICRE,NSE_IN,General Insurance Corporation of India,Stock,INE481Y01014,NSE_IN::GICRE,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.95,"None, identity confirmed by matching ISIN and official name across exchanges.",The BSE listing shares ISIN INE481Y01014 and exact name 'General Insurance Corporation of India' with existing NSE listing NSE_IN::GICRE. Asset type also consistent. This is a cross-listing of the same security on multiple exchanges.,Cross-listing relationship requires explicit exchange confirmation before merging master records.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
BSE_IN::IOB,IOB,BSE_IN,Indian Overseas Bank,Stock,INE565A01014,bse_india_scrips,NSE_IN::IOB,NSE_IN,Indian Overseas Bank,Stock,INE565A01014,NSE_IN::IOB,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.95,"None, identity confirmed by matching ISIN and official name across exchanges.",The BSE listing shares ISIN INE565A01014 and exact name 'Indian Overseas Bank' with existing NSE listing NSE_IN::IOB. Asset type also consistent. This is a cross-listing of the same security on multiple exchanges.,Cross-listing relationship requires explicit exchange confirmation before merging master records.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
BSE_IN::LICI,LICI,BSE_IN,Life Insurance Corporation of India,Stock,INE0J1Y01017,bse_india_scrips,NSE_IN::LICI,NSE_IN,Life Insurance Corporation Of India,Stock,INE0J1Y01017,NSE_IN::LICI,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.95,"None, identity confirmed by matching ISIN and official name across exchanges.",The BSE listing shares ISIN INE0J1Y01017 and name 'Life Insurance Corporation of India' (minor capitalization difference) with existing NSE listing NSE_IN::LICI. Asset type also consistent. This is a cross-listing of the same security on multiple exchanges.,Cross-listing relationship requires explicit exchange confirmation before merging master records.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
BSE_IN::MAHABANK,MAHABANK,BSE_IN,Bank of Maharashtra,Stock,INE457A01014,bse_india_scrips,NSE_IN::MAHABANK,NSE_IN,Bank of Maharashtra,Stock,INE457A01014,NSE_IN::MAHABANK,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.95,"None, identity confirmed by matching ISIN and official name across exchanges.",The BSE listing shares ISIN INE457A01014 and exact name 'Bank of Maharashtra' with existing NSE listing NSE_IN::MAHABANK. Asset type also consistent. This is a cross-listing of the same security on multiple exchanges.,Cross-listing relationship requires explicit exchange confirmation before merging master records.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
